,CAT mínimo de créditos en pesos a tasa fija,CAT máximo de créditos en pesos a tasa fija,CAT promedio de créditos en pesos a tasa fija,Tasa de interés asociada al CAT mínimo de créditos en pesos a tasa fija,Tasa de interés asociada al CAT máximo de créditos en pesos a tasa fija,Tasa de interés promedio de créditos en pesos a tasa fija
2017-01-31,11.3,16.0,13.05,9.15,13.5,10.78
2017-02-28,11.3,16.99,13.13,9.15,14.49,10.84
2017-03-31,11.3,16.99,13.37,9.15,14.49,11.0
2017-04-30,11.3,16.99,13.39,9.15,14.49,11.02
2017-05-31,11.3,16.99,13.3,9.15,14.49,10.96
2017-06-30,11.3,17.07,13.33,9.15,14.49,10.97
2017-07-31,11.3,17.07,13.17,9.15,14.49,10.81
2017-08-31,11.3,17.07,13.16,9.15,14.49,10.81
2017-09-30,11.3,17.31,13.14,9.15,14.49,10.78
2017-10-31,11.3,17.31,13.14,9.15,14.49,10.78
2017-11-30,11.3,17.31,13.14,9.15,14.49,10.78
2017-12-31,11.4,17.32,13.13,9.15,14.49,10.76
2018-01-31,11.4,17.3,13.17,9.57,14.49,10.79
2018-02-28,11.4,17.24,13.11,9.57,14.49,10.65
2018-03-31,11.4,17.3,13.11,9.57,14.49,10.66
2018-04-30,11.3,17.3,13.3,9.7,14.49,10.74
2018-05-31,11.3,17.3,13.3,9.7,14.49,10.74
2018-06-30,11.3,17.3,13.3,9.38,14.49,10.7
2018-07-31,11.3,17.3,13.09,9.7,14.49,10.39
2018-08-31,11.3,17.5,13.12,9.27,14.5,10.42
2018-09-30,11.3,17.5,13.12,9.38,14.5,10.42
2018-10-31,11.3,17.5,13.18,9.05,14.5,10.55
2018-11-30,11.3,17.5,13.19,9.38,14.5,10.56
2018-12-31,11.3,17.5,13.21,9.27,14.5,10.59
2019-01-31,11.3,17.5,13.21,9.05,14.5,10.59
2019-02-28,11.3,17.5,13.3,9.05,14.5,10.69
2019-03-31,11.0,17.5,13.42,9.05,14.5,10.69
2019-04-30,11.0,17.5,13.38,9.05,14.5,10.66
2019-05-31,11.0,17.5,13.37,9.05,14.5,10.66
2019-06-30,11.0,17.5,13.29,9.05,14.5,10.6
2019-07-31,11.0,17.5,13.26,9.05,14.5,10.58
2019-08-31,11.0,17.07,13.26,9.05,14.3,10.59
2019-09-30,11.0,17.07,13.24,9.05,14.3,10.58
2019-10-31,10.73,17.07,13.16,9.55,14.3,10.52
2019-11-30,10.73,17.06,13.06,9.55,14.3,10.41
2019-12-31,10.73,17.08,12.98,9.55,14.3,10.35
2020-01-31,10.73,17.07,12.98,9.55,14.03,10.35
2020-02-29,10.73,17.05,12.98,9.55,14.3,10.35
2020-03-31,10.1,17.07,12.79,9.0,14.3,10.16
2020-04-30,10.1,17.07,12.79,9.0,14.3,10.16
2020-05-31,10.1,17.07,12.79,9.0,14.3,10.16
2020-06-30,10.1,17.07,12.78,9.0,14.3,10.16
2020-07-31,9.3,17.07,12.57,8.35,14.3,10.06
2020-08-31,9.3,17.07,12.55,8.35,14.3,10.04
2020-09-30,9.3,17.07,12.48,8.35,14.3,9.98
2020-10-31,9.3,17.07,12.44,8.35,14.3,9.93
2020-11-30,9.3,17.33,12.8,8.35,14.3,10.33
2020-12-31,9.3,17.35,12.81,8.35,14.3,10.35
2021-01-31,9.3,17.35,12.9,8.35,14.3,10.44
2021-02-28,9.3,17.29,12.85,8.35,14.3,10.42
2021-03-31,9.3,17.34,12.81,8.35,14.3,10.38
2021-04-30,9.3,17.34,12.81,8.35,14.3,10.38
2021-05-31,9.3,17.34,12.81,8.35,14.3,10.38
2021-06-30,9.3,17.34,12.89,8.35,14.3,10.52
2021-07-31,8.9,17.34,12.67,8.0,14.3,10.34
2021-08-31,8.6,17.34,12.23,7.0,14.3,10.0
2021-09-30,8.5,17.34,12.24,7.0,14.3,10.01
2021-10-31,8.5,17.34,12.33,7.0,14.3,10.06
2021-11-30,8.8,17.34,12.39,8.0,14.3,10.1
2021-12-31,8.8,17.35,12.42,8.0,14.3,10.13
2022-01-31,8.8,17.35,12.42,8.0,14.3,10.13
2022-02-28,9.8,17.29,12.5,8.85,14.3,10.21
2022-03-31,9.8,19.04,12.63,8.85,15.3,10.3
