Date, Nacional," Nacional, Materiales de construcción"," Nacional, Alquiler de maquinaria"," Nacional, Mano de obra"," Guadalajara, Jal."," Guadalajara, Jal., Materiales de construcción"," Guadalajara, Jal., Alquiler de maquinaria"," Guadalajara, Jal., Mano de obra"," Mexicali, B. C."," Mexicali, B. C., Materiales de construcción"," Mexicali, B. C., Alquiler de maquinaria"," Mexicali, B. C., Mano de obra"," Culiacán, Sin."," Culiacán, Sin., Materiales de construcción"," Culiacán, Sin., Alquiler de maquinaria"," Culiacán, Sin., Mano de obra"," Hermosillo, Son."," Hermosillo, Son., Materiales de construcción"," Hermosillo, Son., Alquiler de maquinaria"," Hermosillo, Son., Mano de obra"," Tijuana, B. C."," Tijuana, B. C., Materiales de construcción"," Tijuana, B. C., Alquiler de maquinaria"," Tijuana, B. C., Mano de obra"," La Paz, B. C. S."," La Paz, B. C. S., Materiales de construcción"," La Paz, B. C. S., Alquiler de maquinaria"," La Paz, B. C. S., Mano de obra"," Huatabampo, Son."," Huatabampo, Son., Materiales de construcción"," Huatabampo, Son., Alquiler de maquinaria"," Huatabampo, Son., Mano de obra"
1/31/2017,2.804120784,3.290460769,2.724116714,0.354772312,2.956670608,3.581029725,0.7227647617,0,5.14186406,6.009377086,11.92067595,0,4.563720682,5.478264894,2.559814746,0,3.007827455,3.578839705,2.783519176,0,4.572752998,5.341024842,6.271356215,0,2.429825551,2.864822657,2.777504098,0,5.029272192,6.181963861,0,0
2/28/2017,2.357897417,2.701986939,0.2173616487,0.7680728745,2.488287827,2.481734044,0,2.720899252,-0.0612880346,-0.07347503691,0,0,2.547593294,3.085882998,-1.51340281,0,0.997367458,1.05461897,-1.928527395,1.007656408,1.047081996,1.237278134,0,0,1.813891644,2.157609361,0.2510984892,0,2.070252377,2.51712171,0,0
3/31/2017,0.8593118145,0.7404223862,-0.9003611447,1.652058111,-0.03941493073,-0.04760461875,0,0,0.9599660095,0.2466868111,0,5.002963766,0.8995362265,0.9810859484,0.3711086205,0.4902559371,0.2995160746,0.2172663214,-1.975790641,0.997623912,1.34729411,0.7729792344,0,5,0.5932617726,0.7222832823,-1.168959067,0,-0.3207635397,-0.3883011754,0,0
4/30/2017,0.09565342542,0.01158506081,-0.5003190742,0.5908639174,-0.2786774767,-0.3366090407,0,0,0.714550457,0.8986361863,-1.967477173,0,-0.7126082763,-0.9145717726,-1.239290621,0.4878641541,-0.3547766801,-0.3996019189,-1.405546668,0.000019727509,-0.1813193472,-0.2150711558,0,0,-0.2535403748,-0.2894834175,-0.7559786649,0,-0.2444254728,-0.296090537,0,0
5/31/2017,0.3690180486,0.424065558,0.3176275384,0.08619825809,0.2773306416,0.3252772043,0.6584836699,0,-0.2991410028,-0.3493087253,-0.6365216467,0,0.1453534671,0.1755545713,-0.102020097,0,-0.005291968289,-0.0082134055,0.097321389,0,1.706396077,2.024718911,0,0,0.7992936673,0.9492995414,-0.06193012486,0,-0.02607274935,-0.03160020353,0,0
6/30/2017,0.0627133344,0.02401630213,-0.4733809903,0.3133652745,-0.4295660595,-0.5189178772,0,0,-0.3518753233,-0.4243366734,0,0,1.125000655,0.3414537051,-1.074217515,5.739371549,-0.7203858938,-0.8416107612,-1.312372897,0,-0.06098093391,-0.07213097875,0,0,0.8172746155,0.9778269091,-0.6518297847,0,-0.1994115842,-0.2417004429,0,0
7/31/2017,0.3186970298,0.3478149612,-0.5207418467,0.2410639309,-0.4025953937,-0.4867740003,0,0,0.4216920725,0.5089007778,0,0,0.672469322,0.8211946392,-0.6545708572,0,2.12761328,2.576548019,-0.7455658314,0,1.20384946,1.424125925,0,0,0.365116525,0.4375898445,-0.3955016131,0,1.03162226,1.250926611,0,0
8/31/2017,0.2573287201,0.3000281178,-0.07109413481,0.06296201683,0.8329727808,1.007990869,0,0,0.6517079871,0.7858030914,0,0,0.114229262,0.1414357431,-0.2409175908,0,0.01347070793,0.01810831653,-0.1068347002,0,-0.4867905654,-0.5746112454,0,0,-0.02927609835,-0.03252965261,-0.1451874382,0,-0.5686227101,-0.6880082527,0,0
9/30/2017,0.1847170244,0.2197038554,0.1801723658,0.001733693967,0.4175713225,0.5044327692,0,0,0.1801178706,0.2168898766,0,0,-0.1371121748,-0.1642037764,-0.04040225958,0,0.6111613475,0.7328967048,-0.00463432171,0,0.7095117769,0.8382527994,0,0,-0.730440597,-0.8630805274,-0.02432481973,0,-1.209180212,-1.464813188,0,0
10/31/2017,0.3056880652,0.3161990271,1.262105313,0.1662401868,1.276769887,1.541025248,0,0,-0.2438266869,-0.2376448012,-3.202995996,0,-0.05966938313,-0.1036275914,1.905944717,0,-0.3211243338,-0.4202394128,1.965059452,0,0.3938915398,0.464769088,0,0,-0.07783077522,-0.1086451541,1.147319644,0,0.7358271643,0.8937010568,0,0
11/30/2017,-0.1068859289,-0.1553674161,0.5652638737,0.08831804339,-0.5581641508,-0.6719351498,0,0,0.2925405295,0.3521131351,0,0,-0.02654244337,-0.04172107283,0.5736644226,0,-0.7880856873,-1.009275755,3.47241421,0,-0.8434329525,-0.9944996752,0,0,0.01057110722,0.007443395688,0.3479182317,0,-0.3946057409,-0.4785196294,0,0
12/31/2017,0.1209296172,0.1424921129,0.2077878236,0,0.4114286234,0.4958577235,0,0,-0.3587655865,-0.4985149435,3.970779091,0,-0.03277630996,-0.04548054379,0.3516672853,0,-0.3668298272,-0.441743292,0.05191047431,0,0.9549766412,1.127740012,0,0,0.2817817649,0.3305157761,0.2137603472,0,0.4314481084,0.5236377632,0,0
1/31/2018,1.915304102,2.218977989,0.567917745,0.4401529186,1.79440553,2.16670495,-0.3975620496,0,3.612999223,4.352268683,0,0,2.82906346,3.302898398,-0.06882474144,0.5556958792,0.6230520733,0.6791958322,3.583301499,0,1.50610826,1.775537552,0,0,2.704744669,3.066246454,9.220720985,0,0.7762199726,0.9412147646,0,0
2/28/2018,1.181653388,1.232362274,0.3141542345,0.9883036611,2.350594681,1.492129595,0,7.164675685,0.5193790945,0.621218878,0,0,0.4603588231,0.5647500384,-0.7898202917,0,0.01819757672,-0.2196549691,-1.064191308,1.447497374,1.873668408,2.203003453,0,0,1.129873671,1.095343992,15.31324832,0,4.104802824,3.481475585,6.857142857,7.080298611
3/31/2018,0.7061196838,0.794104154,0.2637934891,0.2738346075,1.928495086,2.333396971,0,0,0.9903380288,1.183324509,0,0,1.086281752,1.153298334,0.08677308511,0.8060083239,2.040652835,2.42720215,0.1212033423,0.1542851318,-0.4486146708,-0.5257680632,0,0,0.4536781796,0.5344423467,0.0437649897,0,0.2709095169,0.3299330869,0,0
4/30/2018,1.321140756,1.307630278,-0.158008264,1.525822637,1.41873499,1.689919997,1.431459204,0,0.2449229557,0.2920927493,0,0,1.444198286,1.736184735,-0.5363255138,0,0.8357262234,1.01395269,-0.5683484359,0,0.5887524788,0.6257096541,4.338484379,0,0.8636733308,1.022835182,-0.270618143,0,0.8081311268,0.9836211876,0,0
5/31/2018,0.8063419727,0.9296188116,1.544344404,0.07869500425,0.5442432799,0.6541565184,0,0,1.225639149,1.460997935,0,0,1.02974945,1.19117838,2.327712795,0,1.528813606,1.796982333,1.794952047,0,2.324779455,2.72571013,0,0,2.58759412,3.025064449,1.171383812,0,2.502170102,3.040237378,0,0
6/30/2018,0.7888098503,0.8999855959,-0.4500235179,0.2960635269,0.9416608216,1.103730664,1.950617582,0,1.821702584,2.166485815,0,0,1.740400127,1.838778303,1.672046498,1.183645007,1.396647373,0.7147827783,2.286109518,5.182876633,1.383595594,1.615878657,0,0,0.6707497364,0.7715644372,0.8510474044,0,0.863201339,0.4328950148,0,3.142134367
7/31/2018,0.5133762301,0.493056961,-0.7204797455,0.7331845116,0.4134822177,0.4956489563,0,0,-0.3145452737,-0.3728150524,0,0,0.1710891447,0.2420285277,-2.397920688,0,0.2016566715,0.2403530105,0.1134361496,0,0.3246149746,0.3452490322,2.222917128,0,1.709942047,2.022898468,-1.230442626,0,-0.7357321036,-0.8930861343,0,0
8/31/2018,0.1329501533,0.1392451066,-0.000428516008,0.1102933123,-0.06538537645,-0.1608082761,5.968657026,0,0.114964592,0.1257996086,0.6584706689,0,-0.8611061211,-1.014510556,-0.5874988078,0,-0.01163773214,-0.000917910603,-0.6728003304,0,-0.5018996548,-0.5847002381,0,0,0.4596298118,0.541379273,-0.2978993154,0,-1.70348432,-2.071098583,0,0
9/30/2018,0.1356255929,0.08896570319,0.3536497833,0.3707192795,-0.7270967254,-0.8717043285,0,0,0.6088187409,0.6710580176,3.161788782,0,0.12563881,0.1424678904,0.4538779086,0,0.3785683014,0.429010101,1.353233572,0,-0.05329433791,-0.06213824852,0,0,-0.9762217791,-1.142236354,0.2294765185,0,0.5218822878,0.6368870667,0,0
