Date,Baja California,Baja California Sur,Jalisco,Sinaloa,Sonora
1990-03-31,1660855.0,317764.0,5302689.0,2204054.0,1823606.0
1990-04-30,1666638.7853820901,318513.82324623445,5314708.851179795,2207784.4957492906,1828099.7509294688
1990-05-31,1672638.8978773677,319291.38764183177,5327066.307030764,2211623.3978371015,1832721.7755851082
1990-06-30,1678468.0772781395,320046.4644781324,5338964.081377302,2215322.9552267008,1837173.8402199335
1990-07-31,1684514.935544456,320829.39221088955,5351195.359175842,2219129.8050773935,1841752.749142931
1990-08-31,1690585.5498583491,321615.04557400686,5363362.513701836,2222920.366086274,1846309.7467919632
1990-09-30,1696482.956825523,322377.9504433911,5375076.125475814,2226573.1417865837,1850698.8820655546
1990-10-31,1702600.3169104545,323168.9671436682,5387117.101949373,2230331.650558345,1855212.7639819444
1990-11-30,1708542.9617205686,323937.06233933626,5398708.605930675,2233953.4079646706,1859560.174352979
1990-12-31,1714707.0675765397,324733.4423767732,5410623.404351806,2237679.864499314,1864030.940536727
1991-01-31,1720894.929480087,325532.54804457014,5422474.079500388,2241390.0321921436,1868479.795446509
1991-02-28,1726504.3848677853,326256.6636432435,5433122.799797834,2244727.1507915594,1872479.2828028
1991-03-31,1732737.4598941407,327060.9568010804,5444851.433879312,2248406.317140292,1876886.4356105186
1991-04-30,1738792.0869056324,327841.90018148377,5456140.671029565,2251951.2915565884,1881130.559747355
1991-05-31,1745071.9077030264,328651.5566764805,5467743.12705861,2255598.405668203,1885494.5968224313
1991-06-30,1751171.7725574584,329437.69038316765,5478910.256416188,2259112.361790515,1889696.996056711
1991-07-31,1757498.3391258908,330252.7102153242,5490386.534392802,2262727.423665011,1894017.9173991447
1991-08-31,1763848.6617419003,331070.4556778408,5501798.689096868,2266326.196697694,1898316.9274676135
1991-09-30,1770016.7541627346,331864.4174176117,5512781.655881886,2269793.371130717,1902456.3973406598
1991-10-31,1776413.8225497825,332687.5262172881,5524067.632533522,2273360.091926282,1906712.2916764864
1991-11-30,1782627.1528135573,333486.67828334274,5534928.491525863,2276796.24806532,1910810.0366469752
1991-12-31,1789070.9669716444,334315.1504201791,5546088.290125067,2280330.9166237665,1915022.8152501597
1992-01-31,1795538.5371773078,335146.34818737546,5557183.965451725,2283849.2963404,1919213.6825793786
1992-02-29,1801610.351304554,335926.38782433973,5567505.739511609,2287125.9374151914,1923114.3349421436
1992-03-31,1808123.9009571408,336762.861005136,5578477.305278499,2290612.7903412175,1927262.79335401
1992-04-30,1814449.9550262755,337574.94634324196,5589033.8956726985,2293971.654993604,1931256.5680755046
1992-05-31,1821010.2504499012,338416.78286119807,5599879.283387156,2297426.4556825114,1935361.9107547286
1992-06-30,1827381.5423619768,339234.05852558784,5610313.76598868,2300754.3020409136,1939313.9605736667
1992-07-31,1833988.5835566407,340081.25838070386,5621032.975650705,2304177.0504927034,1943376.187520248
1992-08-31,1840619.3807988816,340931.1838661799,5631688.062040185,2307583.5101026795,1947416.5031928644
