Date,Indicador Global de la Actividad Económica,Actividades primarias Global,Actividades secundarias Global,Actividades secundarias Minería,"Actividades secundarias Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final",Actividades secundarias Construcción,Actividades secundarias -,Actividades terciarias Global,Actividades terciarias Comercio al por mayor,Actividades terciarias Comercio al por menor,Actividades terciarias -,Actividades terciarias Información en medios masivos,Actividades terciarias Servicios financieros y de seguros,Actividades terciarias Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,"Actividades terciarias Servicios profesionales, científicos y técnicos","Actividades terciarias Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",Actividades terciarias Servicios educativos,Actividades terciarias Servicios de salud y de asistencia social,"Actividades terciarias Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",Actividades terciarias Servicios de alojamiento temporal y de preparación de alimentos y bebidas,Actividades terciarias Otros servicios excepto actividades gubernamentales,"Actividades terciarias Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
2017-01-31,0.3,3.6,0.7,-0.8,3.7,-0.4,1.0,-0.3,-1.1,-3.0,0.3,2.2,1.5,1.5,2.4,0.4,2.2,-0.2,-11.5,-5.3,-0.5,0.4
2017-02-28,-0.5,-8.5,-0.4,-1.2,-1.3,0.1,-0.4,0.1,-0.9,1.6,-0.3,1.0,-0.7,0.5,1.9,1.1,-1.8,-0.1,5.5,2.2,-0.3,-1.3
2017-03-31,0.4,4.4,0.7,0.4,2.9,1.2,0.3,0.0,0.9,-0.6,0.2,-0.1,1.9,-0.8,-2.2,2.2,0.3,1.1,-2.7,0.0,0.8,-1.5
2017-04-30,-0.1,-0.1,-1.3,0.2,-2.8,-5.0,-0.4,0.4,-0.7,3.0,0.4,2.6,-0.7,0.1,-2.6,-3.3,0.2,-0.3,5.1,-0.3,-0.3,0.5
2017-05-31,-0.2,-3.6,0.3,0.1,2.1,1.8,-0.1,0.0,-0.4,-2.1,-0.1,-1.9,1.0,0.3,9.9,2.0,0.2,-0.2,-0.8,1.8,0.4,0.0
2017-06-30,0.5,9.7,0.0,-0.8,0.0,2.4,-0.4,0.4,1.4,1.8,0.9,0.1,1.1,-0.8,-7.2,1.7,0.1,0.7,-13.8,-0.3,-2.3,0.2
2017-07-31,-0.8,-4.6,-0.7,-1.5,-2.3,-2.1,0.0,-0.7,-1.3,-1.6,-0.5,-0.5,0.0,-0.7,-2.7,-0.7,0.3,-0.6,10.6,-1.6,1.0,0.7
2017-08-31,1.0,3.1,0.6,-2.1,0.2,2.7,0.6,1.2,3.0,0.0,0.7,0.9,1.6,1.1,-1.9,3.5,-0.3,-0.2,-2.7,0.0,0.5,0.7
2017-09-30,-1.1,-1.5,-1.4,-7.0,0.9,2.4,-2.0,-0.8,-2.3,1.4,-2.2,1.7,0.2,-0.4,-0.2,-2.1,-0.8,0.8,-3.6,-0.6,-1.4,0.3
2017-10-31,1.3,1.3,1.5,5.8,-3.1,-1.1,2.1,0.9,1.3,1.7,2.9,-2.0,-0.6,0.0,-4.0,2.4,-0.2,-0.1,8.4,-0.8,0.4,1.5
